RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport,DecimalXY,LatLong
0,Bahrain,Sakhir,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,2/28/25,Pre-Season Testing,testing,Practice 1,2025-02-26 10:00:00+03:00,2/26/25 07:00,Practice 2,2025-02-27 10:00:00+03:00,2/27/25 07:00,Practice 3,2025-02-28 10:00:00+03:00,2/28/25 07:00,None,,,None,,,TRUE,"26.0325,Ê50.510556","26¡Ê1_Ê57_ÊN,Ê50¡Ê30_Ê38_ÊE"
1,Australia,Melbourne,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,3/16/25,Australian Grand Prix,conventional,Practice 1,2025-03-14 12:30:00+11:00,3/14/25 01:30,Practice 2,2025-03-14 16:00:00+11:00,3/14/25 05:00,Practice 3,2025-03-15 12:30:00+11:00,3/15/25 01:30,Qualifying,2025-03-15 16:00:00+11:00,3/15/25 05:00,Race,2025-03-16 15:00:00+11:00,3/16/25 04:00,TRUE,"-37.849722,Ê144.968333","37¡Ê50_Ê59_ÊS,Ê144¡Ê58_Ê6_ÊE"
2,China,Shanghai,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,3/23/25,Chinese Grand Prix,sprint_qualifying,Practice 1,2025-03-21 11:30:00+08:00,3/21/25 03:30,Sprint Qualifying,2025-03-21 15:30:00+08:00,3/21/25 07:30,Sprint,2025-03-22 11:00:00+08:00,3/22/25 03:00,Qualifying,2025-03-22 15:00:00+08:00,3/22/25 07:00,Race,2025-03-23 15:00:00+08:00,3/23/25 07:00,TRUE,"31.338889,Ê121.219722","31¡Ê20_Ê20_ÊN,Ê121¡Ê13_Ê11_ÊE"
3,Japan,Suzuka,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,4/6/25,Japanese Grand Prix,conventional,Practice 1,2025-04-04 11:30:00+09:00,4/4/25 02:30,Practice 2,2025-04-04 15:00:00+09:00,4/4/25 06:00,Practice 3,2025-04-05 11:30:00+09:00,4/5/25 02:30,Qualifying,2025-04-05 15:00:00+09:00,4/5/25 06:00,Race,2025-04-06 14:00:00+09:00,4/6/25 05:00,TRUE,"34.8417,Ê136.5389","34¡Ê50_Ê30.12_ÊN,Ê136¡Ê32_Ê20.04_ÊE"
4,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,4/13/25,Bahrain Grand Prix,conventional,Practice 1,2025-04-11 14:30:00+03:00,4/11/25 11:30,Practice 2,2025-04-11 18:00:00+03:00,4/11/25 15:00,Practice 3,2025-04-12 15:30:00+03:00,4/12/25 12:30,Qualifying,2025-04-12 19:00:00+03:00,4/12/25 16:00,Race,2025-04-13 18:00:00+03:00,4/13/25 15:00,TRUE,"26.0325,Ê50.510556","26¡Ê1_Ê57_ÊN,Ê50¡Ê30_Ê38_ÊE"
5,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,4/20/25,Saudi Arabian Grand Prix,conventional,Practice 1,2025-04-18 16:30:00+03:00,4/18/25 13:30,Practice 2,2025-04-18 20:00:00+03:00,4/18/25 17:00,Practice 3,2025-04-19 16:30:00+03:00,4/19/25 13:30,Qualifying,2025-04-19 20:00:00+03:00,4/19/25 17:00,Race,2025-04-20 20:00:00+03:00,4/20/25 17:00,TRUE,"21.631944,Ê39.104444","21¡Ê37_Ê55_ÊN,Ê39¡Ê6_Ê16_ÊE"
6,United States,Miami,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,5/4/25,Miami Grand Prix,sprint_qualifying,Practice 1,2025-05-02 12:30:00-04:00,5/2/25 16:30,Sprint Qualifying,2025-05-02 16:30:00-04:00,5/2/25 20:30,Sprint,2025-05-03 12:00:00-04:00,5/3/25 16:00,Qualifying,2025-05-03 16:00:00-04:00,5/3/25 20:00,Race,2025-05-04 16:00:00-04:00,5/4/25 20:00,TRUE,"25.958056,Ê-80.238889","25¡Ê57_Ê29_ÊN,Ê80¡Ê14_Ê20_ÊW"
7,Italy,Imola,FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,5/18/25,Emilia Romagna Grand Prix,conventional,Practice 1,2025-05-16 13:30:00+02:00,5/16/25 11:30,Practice 2,2025-05-16 17:00:00+02:00,5/16/25 15:00,Practice 3,2025-05-17 12:30:00+02:00,5/17/25 10:30,Qualifying,2025-05-17 16:00:00+02:00,5/17/25 14:00,Race,2025-05-18 15:00:00+02:00,5/18/25 13:00,TRUE,"44.341111,Ê11.713333","44¡Ê20_Ê28_ÊN,Ê11¡Ê42_Ê48_ÊE"
8,Monaco,Monaco,FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,5/25/25,Monaco Grand Prix,conventional,Practice 1,2025-05-23 13:30:00+02:00,5/23/25 11:30,Practice 2,2025-05-23 17:00:00+02:00,5/23/25 15:00,Practice 3,2025-05-24 12:30:00+02:00,5/24/25 10:30,Qualifying,2025-05-24 16:00:00+02:00,5/24/25 14:00,Race,2025-05-25 15:00:00+02:00,5/25/25 13:00,TRUE,"43.734722,Ê7.420556","43¡Ê44_Ê5_ÊN,Ê7¡Ê25_Ê14_ÊE"
9,Spain,Barcelona,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÃ‘A 2025,6/1/25,Spanish Grand Prix,conventional,Practice 1,2025-05-30 13:30:00+02:00,5/30/25 11:30,Practice 2,2025-05-30 17:00:00+02:00,5/30/25 15:00,Practice 3,2025-05-31 12:30:00+02:00,5/31/25 10:30,Qualifying,2025-05-31 16:00:00+02:00,5/31/25 14:00,Race,2025-06-01 15:00:00+02:00,6/1/25 13:00,TRUE,"41.57,Ê2.261111","41¡Ê34_Ê12_ÊN,Ê2¡Ê15_Ê40_ÊE"
10,Canada,MontrŽal,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025,6/15/25,Canadian Grand Prix,conventional,Practice 1,2025-06-13 13:30:00-04:00,6/13/25 17:30,Practice 2,2025-06-13 17:00:00-04:00,6/13/25 21:00,Practice 3,2025-06-14 12:30:00-04:00,6/14/25 16:30,Qualifying,2025-06-14 16:00:00-04:00,6/14/25 20:00,Race,2025-06-15 14:00:00-04:00,6/15/25 18:00,TRUE,"45.500556,Ê-73.5225","45¡Ê30_Ê2_ÊN,Ê73¡Ê31_Ê21_ÊW"
11,Austria,Spielberg,FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025,6/29/25,Austrian Grand Prix,conventional,Practice 1,2025-06-27 13:30:00+02:00,6/27/25 11:30,Practice 2,2025-06-27 17:00:00+02:00,6/27/25 15:00,Practice 3,2025-06-28 12:30:00+02:00,6/28/25 10:30,Qualifying,2025-06-28 16:00:00+02:00,6/28/25 14:00,Race,2025-06-29 15:00:00+02:00,6/29/25 13:00,TRUE,"47.219722,Ê14.764722","47¡Ê13_Ê11_ÊN,Ê14¡Ê45_Ê53_ÊE"
12,United Kingdom,Silverstone,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025,7/6/25,British Grand Prix,conventional,Practice 1,2025-07-04 12:30:00+01:00,7/4/25 11:30,Practice 2,2025-07-04 16:00:00+01:00,7/4/25 15:00,Practice 3,2025-07-05 11:30:00+01:00,7/5/25 10:30,Qualifying,2025-07-05 15:00:00+01:00,7/5/25 14:00,Race,2025-07-06 15:00:00+01:00,7/6/25 14:00,TRUE,"52.071,Ê-1.016","52¡Ê4_Ê15.6_ÊN,Ê1¡Ê0_Ê57.6_ÊW"
13,Belgium,Spa-Francorchamps,FORMULA 1 MOÃ‹T & CHANDON BELGIAN GRAND PRIX 2025,7/27/25,Belgian Grand Prix,sprint_qualifying,Practice 1,2025-07-25 12:30:00+02:00,7/25/25 10:30,Sprint Qualifying,2025-07-25 16:30:00+02:00,7/25/25 14:30,Sprint,2025-07-26 12:00:00+02:00,7/26/25 10:00,Qualifying,2025-07-26 16:00:00+02:00,7/26/25 14:00,Race,2025-07-27 15:00:00+02:00,7/27/25 13:00,TRUE,"50.437222,Ê5.971389","50¡Ê26_Ê14_ÊN,Ê5¡Ê58_Ê17_ÊE"
14,Hungary,Budapest,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,8/3/25,Hungarian Grand Prix,conventional,Practice 1,2025-08-01 13:30:00+02:00,8/1/25 11:30,Practice 2,2025-08-01 17:00:00+02:00,8/1/25 15:00,Practice 3,2025-08-02 12:30:00+02:00,8/2/25 10:30,Qualifying,2025-08-02 16:00:00+02:00,8/2/25 14:00,Race,2025-08-03 15:00:00+02:00,8/3/25 13:00,TRUE,"47.582222,Ê19.251111","47¡Ê34_Ê56_ÊN,Ê19¡Ê15_Ê4_ÊE"
15,Netherlands,Zandvoort,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,8/31/25,Dutch Grand Prix,conventional,Practice 1,2025-08-29 12:30:00+02:00,8/29/25 10:30,Practice 2,2025-08-29 16:00:00+02:00,8/29/25 14:00,Practice 3,2025-08-30 11:30:00+02:00,8/30/25 09:30,Qualifying,2025-08-30 15:00:00+02:00,8/30/25 13:00,Race,2025-08-31 15:00:00+02:00,8/31/25 13:00,TRUE,"52.388889,Ê4.540833","52¡Ê23_Ê20_ÊN,Ê4¡Ê32_Ê27_ÊE"
16,Italy,Monza,FORMULA 1 PIRELLI GRAN PREMIO Dâ€™ITALIA 2025,9/7/25,Italian Grand Prix,conventional,Practice 1,2025-09-05 13:30:00+02:00,9/5/25 11:30,Practice 2,2025-09-05 17:00:00+02:00,9/5/25 15:00,Practice 3,2025-09-06 12:30:00+02:00,9/6/25 10:30,Qualifying,2025-09-06 16:00:00+02:00,9/6/25 14:00,Race,2025-09-07 15:00:00+02:00,9/7/25 13:00,TRUE,"45.620556,Ê9.289444","45¡Ê37_Ê14_ÊN,Ê9¡Ê17_Ê22_ÊE"
17,Azerbaijan,Baku,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025,9/21/25,Azerbaijan Grand Prix,conventional,Practice 1,2025-09-19 12:30:00+04:00,9/19/25 08:30,Practice 2,2025-09-19 16:00:00+04:00,9/19/25 12:00,Practice 3,2025-09-20 12:30:00+04:00,9/20/25 08:30,Qualifying,2025-09-20 16:00:00+04:00,9/20/25 12:00,Race,2025-09-21 15:00:00+04:00,9/21/25 11:00,TRUE,"40.3725,Ê49.853333","40¡Ê22_Ê21_ÊN,Ê49¡Ê51_Ê12_ÊE"
18,Singapore,Marina Bay,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025,10/5/25,Singapore Grand Prix,conventional,Practice 1,2025-10-03 17:30:00+08:00,10/3/25 09:30,Practice 2,2025-10-03 21:00:00+08:00,10/3/25 13:00,Practice 3,2025-10-04 17:30:00+08:00,10/4/25 09:30,Qualifying,2025-10-04 21:00:00+08:00,10/4/25 13:00,Race,2025-10-05 20:00:00+08:00,10/5/25 12:00,TRUE,"1.291531,Ê103.86385","1¡Ê17_Ê29.51_ÊN,Ê103¡Ê51_Ê49.86_ÊE"
19,United States,Austin,FORMULA 1 MSC CRUISES UNITED STATES GRAND PRIX 2025,10/19/25,United States Grand Prix,sprint_qualifying,Practice 1,2025-10-17 12:30:00-05:00,10/17/25 17:30,Sprint Qualifying,2025-10-17 16:30:00-05:00,10/17/25 21:30,Sprint,2025-10-18 12:00:00-05:00,10/18/25 17:00,Qualifying,2025-10-18 16:00:00-05:00,10/18/25 21:00,Race,2025-10-19 14:00:00-05:00,10/19/25 19:00,TRUE,"30.132778,Ê-97.641111","30¡Ê7_Ê58_ÊN,Ê97¡Ê38_Ê28_ÊW"
20,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÃ‰XICO 2025,10/26/25,Mexico City Grand Prix,conventional,Practice 1,2025-10-24 12:30:00-06:00,10/24/25 18:30,Practice 2,2025-10-24 16:00:00-06:00,10/24/25 22:00,Practice 3,2025-10-25 11:30:00-06:00,10/25/25 17:30,Qualifying,2025-10-25 15:00:00-06:00,10/25/25 21:00,Race,2025-10-26 14:00:00-06:00,10/26/25 20:00,TRUE,"19.406111,Ê-99.0925","19¡Ê24_Ê22_ÊN,Ê99¡Ê5_Ê33_ÊW"
21,Brazil,S‹o Paulo,FORMULA 1 MSC CRUISES GRANDE PRÃŠMIO DE SÃƒO PAULO 2025,11/9/25,SÃ£o Paulo Grand Prix,sprint_qualifying,Practice 1,2025-11-07 11:30:00-03:00,11/7/25 14:30,Sprint Qualifying,2025-11-07 15:30:00-03:00,11/7/25 18:30,Sprint,2025-11-08 11:00:00-03:00,11/8/25 14:00,Qualifying,2025-11-08 15:00:00-03:00,11/8/25 18:00,Race,2025-11-09 14:00:00-03:00,11/9/25 17:00,TRUE,"-23.701111,Ê-46.697222","23¡Ê42_Ê4_ÊS,Ê46¡Ê41_Ê50_ÊW"
22,United States,Las Vegas,FORMULA 1 HEINEKEN LAS VEGAS GRAND PRIX 2025,11/22/25,Las Vegas Grand Prix,conventional,Practice 1,2025-11-20 16:30:00-08:00,11/21/25 00:30,Practice 2,2025-11-20 20:00:00-08:00,11/21/25 04:00,Practice 3,2025-11-21 16:30:00-08:00,11/22/25 00:30,Qualifying,2025-11-21 20:00:00-08:00,11/22/25 04:00,Race,2025-11-22 20:00:00-08:00,11/23/25 04:00,TRUE,"36.10995,Ê-115.16217","36¡Ê6_Ê35.82_ÊN,Ê115¡Ê9_Ê43.81_ÊW"
23,Qatar,Lusail,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2025,11/30/25,Qatar Grand Prix,sprint_qualifying,Practice 1,2025-11-28 16:30:00+03:00,11/28/25 13:30,Sprint Qualifying,2025-11-28 20:30:00+03:00,11/28/25 17:30,Sprint,2025-11-29 17:00:00+03:00,11/29/25 14:00,Qualifying,2025-11-29 21:00:00+03:00,11/29/25 18:00,Race,2025-11-30 19:00:00+03:00,11/30/25 16:00,TRUE,"25.49,Ê51.454167","25¡Ê29_Ê24_ÊN,Ê51¡Ê27_Ê15_ÊE"
24,United Arab Emirates,Yas Island,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2025 ,12/7/25,Abu Dhabi Grand Prix,conventional,Practice 1,2025-12-05 13:30:00+04:00,12/5/25 09:30,Practice 2,2025-12-05 17:00:00+04:00,12/5/25 13:00,Practice 3,2025-12-06 14:30:00+04:00,12/6/25 10:30,Qualifying,2025-12-06 18:00:00+04:00,12/6/25 14:00,Race,2025-12-07 17:00:00+04:00,12/7/25 13:00,TRUE,"24.467222,Ê54.603056","24¡Ê28_Ê2_ÊN,Ê54¡Ê36_Ê11_ÊE"